Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,IsGarageIncluded
12,6,85.0,11924.0,9,5,2005,2006,286.0,998.0,0.0,177.0,1175.0,1182.0,1142.0,0.0,2324.0,1,0,3,0,4,1,11,2,2005,3,736.0,147.0,21.0,0.0,0.0,0.0,0.0,0.0,7,2006,345000.0,True
13,2,70.04995836802665,12968.0,5,6,1962,1962,0.0,737.0,0.0,175.0,912.0,912.0,0.0,0.0,912.0,1,0,1,0,2,1,4,0,1962,1,352.0,140.0,0.0,0.0,0.0,176.0,0.0,0.0,9,2008,144000.0,True
14,2,91.0,10652.0,7,5,2006,2007,306.0,0.0,0.0,1494.0,1494.0,1494.0,0.0,0.0,1494.0,0,0,2,0,3,1,7,1,2006,3,840.0,160.0,33.0,0.0,0.0,0.0,0.0,0.0,8,2007,279500.0,True
15,2,70.04995836802665,10920.0,6,5,1960,1960,212.0,733.0,0.0,520.0,1253.0,1253.0,0.0,0.0,1253.0,1,0,1,1,2,1,5,1,1960,1,352.0,0.0,213.0,176.0,0.0,0.0,0.0,0.0,5,2008,157000.0,True
16,4,51.0,6120.0,7,8,1929,2001,0.0,0.0,0.0,832.0,832.0,854.0,0.0,0.0,854.0,0,0,1,0,2,1,5,0,1991,2,576.0,48.0,112.0,0.0,0.0,0.0,0.0,0.0,7,2007,132000.0,True
17,2,70.04995836802665,11241.0,6,7,1970,1970,180.0,578.0,0.0,426.0,1004.0,1004.0,0.0,0.0,1004.0,1,0,1,0,2,1,5,1,1970,2,480.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,3,2010,149000.0,True
18,9,72.0,10791.0,4,5,1967,1967,0.0,0.0,0.0,0.0,0.0,1296.0,0.0,0.0,1296.0,0,0,2,0,2,2,6,0,1967,2,516.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,10,2006,90000.0,True
19,2,66.0,13695.0,5,5,2004,2004,0.0,646.0,0.0,468.0,1114.0,1114.0,0.0,0.0,1114.0,1,0,1,1,3,1,6,0,2004,2,576.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,6,2008,159000.0,True
20,2,70.0,7560.0,5,6,1958,1965,0.0,504.0,0.0,525.0,1029.0,1339.0,0.0,0.0,1339.0,0,0,1,0,3,1,6,0,1958,1,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2009,139000.0,True
21,6,101.0,14215.0,8,5,2005,2006,380.0,0.0,0.0,1158.0,1158.0,1158.0,1218.0,0.0,2376.0,0,0,3,1,4,1,9,1,2005,3,853.0,240.0,154.0,0.0,0.0,0.0,0.0,0.0,11,2006,325300.0,True
22,4,57.0,7449.0,7,7,1930,1950,0.0,0.0,0.0,637.0,637.0,1108.0,0.0,0.0,1108.0,0,0,1,0,3,1,6,1,1930,1,280.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,6,2007,139400.0,True
23,2,75.0,9742.0,8,5,2002,2002,281.0,0.0,0.0,1777.0,1777.0,1795.0,0.0,0.0,1795.0,0,0,2,0,3,1,7,1,2002,2,534.0,171.0,159.0,0.0,0.0,0.0,0.0,0.0,9,2008,230000.0,True
24,12,44.0,4224.0,5,7,1976,1976,0.0,840.0,0.0,200.0,1040.0,1060.0,0.0,0.0,1060.0,1,0,1,0,3,1,6,1,1976,2,572.0,100.0,110.0,0.0,0.0,0.0,0.0,0.0,6,2007,129900.0,True
25,2,70.04995836802665,8246.0,5,8,1968,2001,0.0,188.0,668.0,204.0,1060.0,1060.0,0.0,0.0,1060.0,1,0,1,0,3,1,6,1,1968,1,270.0,406.0,90.0,0.0,0.0,0.0,0.0,0.0,5,2010,154000.0,True
26,2,110.0,14230.0,8,5,2007,2007,640.0,0.0,0.0,1566.0,1566.0,1600.0,0.0,0.0,1600.0,0,0,2,0,3,1,7,1,2007,3,890.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,7,2009,256300.0,True
27,2,60.0,7200.0,5,7,1951,2000,0.0,234.0,486.0,180.0,900.0,900.0,0.0,0.0,900.0,0,1,1,0,3,1,5,0,2005,2,576.0,222.0,32.0,0.0,0.0,0.0,0.0,0.0,5,2010,134800.0,True
28,2,98.0,11478.0,8,5,2007,2008,200.0,1218.0,0.0,486.0,1704.0,1704.0,0.0,0.0,1704.0,1,0,2,0,3,1,7,1,2008,3,772.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5,2010,306000.0,True
29,2,47.0,16321.0,5,6,1957,1997,0.0,1277.0,0.0,207.0,1484.0,1600.0,0.0,0.0,1600.0,1,0,1,0,2,1,6,2,1957,1,319.0,288.0,258.0,0.0,0.0,0.0,0.0,0.0,12,2006,207500.0,True
30,3,60.0,6324.0,4,6,1927,1950,0.0,0.0,0.0,520.0,520.0,520.0,0.0,0.0,520.0,0,0,1,0,1,1,4,0,1920,1,240.0,49.0,0.0,87.0,0.0,0.0,0.0,0.0,5,2008,68500.0,True
31,7,50.0,8500.0,4,4,1920,1950,0.0,0.0,0.0,649.0,649.0,649.0,668.0,0.0,1317.0,0,0,1,0,3,1,6,0,1920,1,250.0,0.0,54.0,172.0,0.0,0.0,0.0,0.0,7,2008,40000.0,True
32,2,70.04995836802665,8544.0,5,6,1966,2006,0.0,0.0,0.0,1228.0,1228.0,1228.0,0.0,0.0,1228.0,0,0,1,1,3,1,6,0,1966,1,271.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,6,2008,149350.0,True
33,2,85.0,11049.0,8,5,2007,2007,0.0,0.0,0.0,1234.0,1234.0,1234.0,0.0,0.0,1234.0,0,0,2,0,3,1,7,0,2007,2,484.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1,2008,179900.0,True
34,2,70.0,10552.0,5,5,1959,1959,0.0,1018.0,0.0,380.0,1398.0,1700.0,0.0,0.0,1700.0,0,1,1,1,4,1,6,1,1959,2,447.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4,2010,165500.0,True
35,12,60.0,7313.0,9,5,2005,2005,246.0,1153.0,0.0,408.0,1561.0,1561.0,0.0,0.0,1561.0,1,0,2,0,2,1,6,1,2005,2,556.0,203.0,47.0,0.0,0.0,0.0,0.0,0.0,8,2007,277500.0,True
36,6,108.0,13418.0,8,5,2004,2005,132.0,0.0,0.0,1117.0,1117.0,1132.0,1320.0,0.0,2452.0,0,0,3,1,4,1,9,1,2004,3,691.0,113.0,32.0,0.0,0.0,0.0,0.0,0.0,9,2006,309000.0,True
37,2,112.0,10859.0,5,5,1994,1995,0.0,0.0,0.0,1097.0,1097.0,1097.0,0.0,0.0,1097.0,0,0,1,1,3,1,6,0,1995,2,672.0,392.0,64.0,0.0,0.0,0.0,0.0,0.0,6,2009,145000.0,True
38,2,74.0,8532.0,5,6,1954,1990,650.0,1213.0,0.0,84.0,1297.0,1297.0,0.0,0.0,1297.0,0,1,1,0,3,1,5,1,1954,2,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2009,153000.0,True
39,2,68.0,7922.0,5,7,1953,2007,0.0,731.0,0.0,326.0,1057.0,1057.0,0.0,0.0,1057.0,1,0,1,0,3,1,5,0,1953,1,246.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1,2010,109000.0,True
40,9,65.0,6040.0,4,5,1955,1955,0.0,0.0,0.0,0.0,0.0,1152.0,0.0,0.0,1152.0,0,0,2,0,2,2,6,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2008,82000.0,False
41,2,84.0,8658.0,6,5,1965,1965,101.0,643.0,0.0,445.0,1088.0,1324.0,0.0,0.0,1324.0,0,0,2,0,3,1,6,1,1965,2,440.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,12,2006,160000.0,True
42,2,115.0,16905.0,5,6,1959,1959,0.0,967.0,0.0,383.0,1350.0,1328.0,0.0,0.0,1328.0,0,1,1,1,2,1,5,2,1959,1,308.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,7,2007,170000.0,True
43,8,70.04995836802665,9180.0,5,7,1983,1983,0.0,747.0,93.0,0.0,840.0,884.0,0.0,0.0,884.0,1,0,1,0,2,1,5,0,1983,2,504.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2007,144000.0,True
44,2,70.04995836802665,9200.0,5,6,1975,1980,0.0,280.0,491.0,167.0,938.0,938.0,0.0,0.0,938.0,1,0,1,0,3,1,5,0,1977,1,308.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2008,130250.0,True
45,2,70.0,7945.0,5,6,1959,1959,0.0,179.0,506.0,465.0,1150.0,1150.0,0.0,0.0,1150.0,1,0,1,0,3,1,6,0,1959,1,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2006,141000.0,True
46,12,61.0,7658.0,9,5,2005,2005,412.0,456.0,0.0,1296.0,1752.0,1752.0,0.0,0.0,1752.0,1,0,2,0,2,1,6,1,2005,2,576.0,196.0,82.0,0.0,0.0,0.0,0.0,0.0,2,2010,319900.0,True
47,5,48.0,12822.0,7,5,2003,2003,0.0,1351.0,0.0,83.0,1434.0,1518.0,631.0,0.0,2149.0,1,0,1,1,1,1,6,1,2003,2,670.0,168.0,43.0,0.0,0.0,198.0,0.0,0.0,8,2009,239686.0,True
48,2,84.0,11096.0,8,5,2006,2006,0.0,24.0,0.0,1632.0,1656.0,1656.0,0.0,0.0,1656.0,0,0,2,0,3,1,7,0,2006,3,826.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,7,2007,249700.0,True
49,19,33.0,4456.0,4,5,1920,2008,0.0,0.0,0.0,736.0,736.0,736.0,716.0,0.0,1452.0,0,0,2,0,2,3,8,0,-1,0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,6,2009,113000.0,False
50,2,66.0,7742.0,5,7,1966,1966,0.0,763.0,0.0,192.0,955.0,955.0,0.0,0.0,955.0,1,0,1,0,3,1,6,0,1966,1,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2007,127000.0,True
51,6,70.04995836802665,13869.0,6,6,1997,1997,0.0,182.0,0.0,612.0,794.0,794.0,676.0,0.0,1470.0,0,1,2,0,3,1,6,0,1997,2,388.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,7,2007,177000.0,True
52,5,52.0,6240.0,6,6,1934,1950,0.0,0.0,0.0,816.0,816.0,816.0,0.0,360.0,1176.0,0,0,1,0,3,1,6,1,1985,2,528.0,112.0,0.0,0.0,0.0,0.0,0.0,400.0,9,2006,114500.0,True
53,9,110.0,8472.0,5,5,1963,1963,0.0,104.0,712.0,0.0,816.0,816.0,0.0,0.0,816.0,1,0,1,0,2,1,5,0,1963,2,516.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2010,110000.0,True
54,2,68.0,50271.0,9,5,1981,1987,0.0,1810.0,0.0,32.0,1842.0,1842.0,0.0,0.0,1842.0,2,0,0,1,0,1,5,1,1981,3,894.0,857.0,72.0,0.0,0.0,0.0,0.0,0.0,11,2006,385000.0,True
55,8,60.0,7134.0,5,5,1955,1955,0.0,384.0,0.0,0.0,384.0,1360.0,0.0,0.0,1360.0,0,0,1,0,3,1,6,1,1962,2,572.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2,2007,130000.0,True
56,2,100.0,10175.0,6,5,1964,1964,272.0,490.0,0.0,935.0,1425.0,1425.0,0.0,0.0,1425.0,0,0,2,0,3,1,7,1,1964,2,576.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,7,2008,180500.0,True
57,16,24.0,2645.0,8,5,1999,2000,456.0,649.0,0.0,321.0,970.0,983.0,756.0,0.0,1739.0,1,0,2,1,3,1,7,0,1999,2,480.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2009,172500.0,True
58,6,89.0,11645.0,7,5,2004,2004,0.0,0.0,0.0,860.0,860.0,860.0,860.0,0.0,1720.0,0,0,2,1,3,1,7,0,2004,2,565.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,8,2006,196500.0,True
59,6,66.0,13682.0,10,5,2006,2006,1031.0,0.0,0.0,1410.0,1410.0,1426.0,1519.0,0.0,2945.0,0,0,3,1,3,1,10,1,2006,3,641.0,192.0,0.0,37.0,0.0,0.0,0.0,0.0,10,2006,438780.0,True
60,2,60.0,7200.0,5,7,1972,1972,0.0,632.0,0.0,148.0,780.0,780.0,0.0,0.0,780.0,0,0,1,0,2,1,4,0,1973,1,352.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2008,124900.0,True
61,2,63.0,13072.0,6,5,2004,2004,0.0,941.0,0.0,217.0,1158.0,1158.0,0.0,0.0,1158.0,1,0,1,1,3,1,5,0,2006,2,576.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5,2006,158000.0,True
62,7,60.0,7200.0,5,7,1920,1996,0.0,0.0,0.0,530.0,530.0,581.0,530.0,0.0,1111.0,0,0,1,0,3,1,6,0,1935,1,288.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,3,2007,101000.0,True
63,12,44.0,6442.0,8,5,2006,2006,178.0,24.0,0.0,1346.0,1370.0,1370.0,0.0,0.0,1370.0,0,0,2,0,2,1,6,1,2006,2,484.0,120.0,49.0,0.0,0.0,0.0,0.0,0.0,10,2007,202500.0,True
64,7,50.0,10300.0,7,6,1921,1950,0.0,0.0,0.0,576.0,576.0,902.0,808.0,0.0,1710.0,0,0,2,0,3,1,9,0,1990,2,480.0,12.0,11.0,64.0,0.0,0.0,0.0,0.0,4,2010,140000.0,True
65,6,70.04995836802665,9375.0,7,5,1997,1998,573.0,739.0,0.0,318.0,1057.0,1057.0,977.0,0.0,2034.0,1,0,2,1,3,1,8,0,1998,2,645.0,576.0,36.0,0.0,0.0,0.0,0.0,0.0,2,2009,219500.0,True
66,6,76.0,9591.0,8,5,2004,2005,344.0,0.0,0.0,1143.0,1143.0,1143.0,1330.0,0.0,2473.0,0,0,2,1,4,1,9,1,2004,3,852.0,192.0,151.0,0.0,0.0,0.0,0.0,0.0,10,2007,317000.0,True
67,2,70.04995836802665,19900.0,7,5,1970,1989,287.0,912.0,0.0,1035.0,1947.0,2207.0,0.0,0.0,2207.0,1,0,2,0,3,1,7,1,1970,2,576.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2010,180000.0,True
68,2,72.0,10665.0,7,5,2003,2003,167.0,1013.0,0.0,440.0,1453.0,1479.0,0.0,0.0,1479.0,1,0,2,0,3,1,7,0,2003,2,558.0,144.0,29.0,0.0,0.0,0.0,0.0,0.0,6,2007,226000.0,True
69,3,47.0,4608.0,4,6,1945,1950,0.0,0.0,0.0,747.0,747.0,747.0,0.0,0.0,747.0,0,0,1,0,2,1,4,0,1945,1,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2010,80000.0,True
70,5,81.0,15593.0,7,4,1953,1953,0.0,603.0,0.0,701.0,1304.0,1304.0,983.0,0.0,2287.0,0,0,2,0,3,1,7,1,1953,2,667.0,0.0,21.0,114.0,0.0,0.0,0.0,0.0,7,2006,225000.0,True
71,2,95.0,13651.0,7,6,1973,1973,1115.0,1880.0,0.0,343.0,2223.0,2223.0,0.0,0.0,2223.0,1,0,2,0,3,1,8,2,1973,2,516.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2007,244000.0,True
72,2,69.0,7599.0,4,6,1982,2006,0.0,565.0,0.0,280.0,845.0,845.0,0.0,0.0,845.0,1,0,1,0,2,1,4,0,1987,2,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2007,129500.0,True
73,6,74.0,10141.0,7,5,1998,1998,40.0,0.0,0.0,832.0,832.0,885.0,833.0,0.0,1718.0,0,0,2,1,3,1,7,1,1998,2,427.0,0.0,94.0,0.0,0.0,291.0,0.0,0.0,12,2009,185000.0,True
74,2,85.0,10200.0,5,7,1954,2003,104.0,320.0,362.0,404.0,1086.0,1086.0,0.0,0.0,1086.0,1,0,1,0,3,1,6,0,1989,2,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2010,144900.0,True
75,5,60.0,5790.0,3,6,1915,1950,0.0,0.0,0.0,840.0,840.0,840.0,765.0,0.0,1605.0,0,0,2,0,3,2,8,0,1915,1,379.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,5,2010,107400.0,True
76,18,21.0,1596.0,4,5,1973,1973,0.0,462.0,0.0,0.0,462.0,526.0,462.0,0.0,988.0,1,0,1,0,2,1,5,0,1973,1,297.0,120.0,101.0,0.0,0.0,0.0,0.0,0.0,11,2009,91000.0,True
77,2,70.04995836802665,8475.0,4,7,1956,1956,0.0,228.0,0.0,724.0,952.0,952.0,0.0,0.0,952.0,0,0,1,0,2,1,4,0,1956,1,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2008,135750.0,True
78,5,50.0,8635.0,5,5,1948,2001,0.0,336.0,41.0,295.0,672.0,1072.0,213.0,0.0,1285.0,1,0,1,0,2,1,6,0,1948,1,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2008,127000.0,True
79,9,72.0,10778.0,4,5,1968,1968,0.0,0.0,0.0,1768.0,1768.0,1768.0,0.0,0.0,1768.0,0,0,2,0,4,2,8,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2010,136500.0,False
80,5,60.0,10440.0,5,6,1910,1981,0.0,0.0,0.0,440.0,440.0,682.0,548.0,0.0,1230.0,0,0,1,1,2,1,5,0,1966,2,440.0,74.0,0.0,128.0,0.0,0.0,0.0,0.0,5,2009,110000.0,True
81,6,100.0,13000.0,6,6,1968,1968,576.0,448.0,0.0,448.0,896.0,1182.0,960.0,0.0,2142.0,0,0,2,1,4,1,8,1,1968,1,509.0,0.0,72.0,0.0,0.0,252.0,0.0,0.0,6,2009,193500.0,True
82,12,32.0,4500.0,6,5,1998,1998,443.0,1201.0,0.0,36.0,1237.0,1337.0,0.0,0.0,1337.0,1,0,2,0,2,1,5,0,1998,2,405.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,3,2006,153500.0,True
83,2,78.0,10206.0,8,5,2007,2007,468.0,33.0,0.0,1530.0,1563.0,1563.0,0.0,0.0,1563.0,0,0,2,0,3,1,6,1,2007,3,758.0,144.0,99.0,0.0,0.0,0.0,0.0,0.0,10,2008,245000.0,True
84,2,80.0,8892.0,5,5,1960,1960,66.0,0.0,0.0,1065.0,1065.0,1065.0,0.0,0.0,1065.0,0,0,1,1,3,1,6,0,1974,2,461.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2007,126500.0,True
85,8,70.04995836802665,8530.0,7,5,1995,1996,22.0,0.0,0.0,384.0,384.0,804.0,670.0,0.0,1474.0,0,0,2,1,3,1,7,1,1995,2,400.0,120.0,72.0,0.0,0.0,0.0,0.0,700.0,5,2009,168500.0,True
86,6,121.0,16059.0,8,5,1991,1992,284.0,0.0,0.0,1288.0,1288.0,1301.0,1116.0,0.0,2417.0,0,0,2,1,4,1,9,1,1991,2,462.0,127.0,82.0,0.0,0.0,0.0,0.0,0.0,4,2006,260000.0,True
87,6,122.0,11911.0,6,5,2005,2005,0.0,0.0,0.0,684.0,684.0,684.0,876.0,0.0,1560.0,0,0,2,1,3,1,6,1,2005,2,400.0,100.0,38.0,0.0,0.0,0.0,0.0,0.0,3,2009,174000.0,True
88,16,40.0,3951.0,6,5,2009,2009,76.0,0.0,0.0,612.0,612.0,612.0,612.0,0.0,1224.0,0,0,2,1,2,1,4,0,2009,2,528.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,6,2009,164500.0,True
89,5,105.0,8470.0,3,2,1915,1982,0.0,0.0,0.0,1013.0,1013.0,1013.0,0.0,513.0,1526.0,0,0,1,0,2,1,6,0,-1,0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,10,2009,85000.0,False
90,2,60.0,8070.0,4,5,1994,1995,0.0,588.0,0.0,402.0,990.0,990.0,0.0,0.0,990.0,1,0,1,0,3,1,5,0,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2007,123600.0,False
91,2,60.0,7200.0,4,5,1950,1950,0.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,1040.0,0,0,1,0,2,1,4,0,1950,2,420.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,7,2006,109900.0,True
92,2,85.0,8500.0,5,3,1961,1961,203.0,600.0,0.0,635.0,1235.0,1235.0,0.0,0.0,1235.0,0,0,1,0,2,1,6,0,1961,2,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2006,98600.0,True
93,3,80.0,13360.0,5,7,1921,2006,0.0,713.0,0.0,163.0,876.0,964.0,0.0,0.0,964.0,1,0,1,0,2,1,5,0,1921,2,432.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,8,2009,163500.0,True
94,19,60.0,7200.0,6,6,1910,1998,0.0,1046.0,0.0,168.0,1214.0,1260.0,1031.0,0.0,2291.0,0,1,2,0,4,2,9,1,1900,2,506.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,11,2007,133900.0,True
95,6,69.0,9337.0,6,5,1997,1997,0.0,648.0,0.0,176.0,824.0,905.0,881.0,0.0,1786.0,1,0,2,1,3,1,7,0,1997,2,684.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,5,2007,204750.0,True
96,6,70.04995836802665,9765.0,6,8,1993,1993,68.0,310.0,0.0,370.0,680.0,680.0,790.0,0.0,1470.0,0,0,2,1,3,1,6,1,1993,2,420.0,232.0,63.0,0.0,0.0,0.0,0.0,480.0,4,2009,185000.0,True
97,2,78.0,10264.0,7,5,1999,1999,183.0,1162.0,0.0,426.0,1588.0,1588.0,0.0,0.0,1588.0,0,0,2,0,3,1,6,0,1999,2,472.0,158.0,29.0,0.0,0.0,0.0,0.0,0.0,8,2006,214000.0,True
98,2,73.0,10921.0,4,5,1965,1965,48.0,520.0,0.0,440.0,960.0,960.0,0.0,0.0,960.0,1,0,1,0,3,1,6,0,1965,1,432.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,94750.0,True
99,3,85.0,10625.0,5,5,1920,1950,0.0,108.0,0.0,350.0,458.0,835.0,0.0,0.0,835.0,0,0,1,0,2,1,5,0,1920,1,366.0,0.0,0.0,77.0,0.0,0.0,0.0,400.0,5,2010,83000.0,True
100,2,77.0,9320.0,4,5,1959,1959,0.0,569.0,0.0,381.0,950.0,1225.0,0.0,0.0,1225.0,1,0,1,1,3,1,6,0,-1,0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,400.0,1,2010,128950.0,False
101,2,70.04995836802665,10603.0,6,7,1977,2001,28.0,1200.0,0.0,410.0,1610.0,1610.0,0.0,0.0,1610.0,1,0,2,0,3,1,6,2,1977,2,480.0,168.0,68.0,0.0,0.0,0.0,0.0,0.0,2,2010,205000.0,True
102,6,77.0,9206.0,6,5,1985,1985,336.0,0.0,0.0,741.0,741.0,977.0,755.0,0.0,1732.0,0,0,2,1,3,1,7,1,1985,2,476.0,192.0,46.0,0.0,0.0,0.0,0.0,0.0,6,2010,178000.0,True
103,9,64.0,7018.0,5,5,1979,1979,0.0,0.0,0.0,0.0,0.0,1535.0,0.0,0.0,1535.0,0,0,2,0,4,2,8,0,1979,2,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2009,118964.0,True
104,2,94.0,10402.0,7,5,2009,2009,0.0,0.0,0.0,1226.0,1226.0,1226.0,0.0,0.0,1226.0,0,0,2,0,3,1,6,0,2009,3,740.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,5,2010,198900.0,True
105,5,70.04995836802665,7758.0,7,4,1931,1950,600.0,224.0,0.0,816.0,1040.0,1226.0,592.0,0.0,1818.0,0,0,1,1,4,1,7,2,1951,1,240.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,6,2007,169500.0,True
